"title","season","sound","resolution"
"30 dagar i f?ngelse","AAC","1920x1080"
"99 Saker Man M?ste G?ra Innan Man D?r (2011)","AAC","716x404"
"Avatar - The Legend of Korra (2012)","AC-3","1920x1080"
"Avatar The Last Airbender (2005-2008)","AC-3","1440x1080"
"Bilar B?rgarns hejdl?sa historier (2010)","AC-3","720x576"
"En Fyra F?r Tre (1996)","AC-3","720x576"
"Erik och Mackan g?r Kentucky (2015)","AAC","1280x720"
"Erik och Mackan Hela och rena (2008)","MPEG Audio","640x352"
"Erik och Mackan kn?cker den manliga koden (2012)","AAC","716x404"
"Gumball 3000 med Erik & Mackan (2010)","MPEG Audio","640x352"
"Hem Till Midg?rd (2003)","AAC","720x576"
"Hey Baberiba (2005)","AC-3","720x576"
"Historie?tarna (2012)","AC-3","1280x718"
"Hitler - Ondskans natur (2003)","AC-3","720x576"
"Hj?lp! (2007)","MPEG Audio","640x352"
"Kontoret (2012-2013)","AAC","720x576"
"Lego Star Wars The Freemaker Adventures (2016)","AC-3","720x576"
"LEGO Star Wars The Yoda Chronicles (2013)","AC-3","720x576"
"Nemas Problemas (2015)","AC-3","1920x1080"
"NileCity 105.6 (1995)","AAC","720x576"
"Parlamentet - Det b?sta ur parlamentet (2009)","AC-3","720x576"
"Peaky Blinders (2013)","E-AC-3","1920x960"
"Scooby-Doo, Where Are You! (1969)","AC-3","720x576"
"Solsidan (2010)","AC-3","1920x1076"
"Star Wars The Clone Wars (2008)","DTS","1920x1080"
"The Big Bang Theory (2007)","E-AC-3","1920x1080"
"The Fairly OddParents (2001-2017)","AC-3","1920x1080"
"Tusenbr?der (2002)","AAC","720x576"
"V?rldens st?rsta konspirationer med Erik & Mackan (2013)","AAC","716x404"
"What's New, Scooby-Doo (2002)","AAC","720x576"
